scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Dynamic Only,73,4,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,73,5,dynamic,0.2,58.60000000000056,58.40000000000056,1,58.60000000000056,58.700000000000564,66.80000000000048,8.099999999999916,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,73,6,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,73,7,dynamic,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,137,0,dynamic,0.2,6.299999999999994,6.099999999999993,9,6.299999999999994,6.399999999999993,,1.999999999999993,1,0,0,0.0000,0.0,0.0547945205479452,lost,0
Dynamic Only,137,1,dynamic,0.2,6.8999999999999915,6.699999999999991,3,6.8999999999999915,6.999999999999991,15.099999999999962,8.099999999999971,0,0,0,0.0000,0.0,0.7857142857142857,completed,0
Dynamic Only,137,2,dynamic,0.2,21.90000000000004,21.700000000000042,7,21.90000000000004,22.000000000000043,30.000000000000156,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,137,3,dynamic,0.2,0.5,0.3,0,0.5,0.6,8.699999999999985,8.099999999999985,0,0,1,0.0000,0.0,1.0,completed,0
Dynamic Only,137,4,dynamic,0.2,3.0000000000000013,2.800000000000001,8,3.0000000000000013,3.1000000000000014,11.199999999999976,8.099999999999975,0,0,0,0.0000,0.0,0.7142857142857143,completed,0
Dynamic Only,137,5,dynamic,0.2,35.90000000000024,35.70000000000024,3,35.90000000000024,36.00000000000024,44.000000000000355,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,137,6,dynamic,0.2,25.100000000000087,24.900000000000087,6,25.100000000000087,25.200000000000088,34.900000000000226,9.700000000000138,0,0,0,0.0000,0.0,0.75,completed,0
Dynamic Only,137,7,dynamic,0.2,19.200000000000003,19.000000000000004,1,19.200000000000003,19.300000000000004,29.900000000000155,10.60000000000015,0,0,0,0.0000,0.0,0.6818181818181818,completed,0
Dynamic Only,256,0,dynamic,0.2,68.2000000000004,68.0000000000004,6,68.2000000000004,68.3000000000004,,1.1999999999999318,1,0,0,0.0000,0.0,0.08108108108108109,lost,0
Dynamic Only,256,1,dynamic,0.2,7.499999999999989,7.299999999999989,5,7.499999999999989,7.599999999999989,19.400000000000006,11.800000000000017,0,0,0,0.0000,0.0,0.5238095238095238,completed,0
Dynamic Only,256,2,dynamic,0.2,39.60000000000029,39.40000000000029,2,39.60000000000029,39.700000000000294,47.70000000000041,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,256,3,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,256,4,dynamic,0.2,16.09999999999996,15.89999999999996,3,16.09999999999996,16.19999999999996,24.200000000000074,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,256,5,dynamic,0.2,15.099999999999962,14.899999999999963,5,15.099999999999962,15.199999999999962,23.20000000000006,8.000000000000098,0,0,0,0.0000,0.0,0.625,completed,0
Dynamic Only,256,6,dynamic,0.2,28.80000000000014,28.60000000000014,5,28.80000000000014,28.90000000000014,36.900000000000254,8.000000000000114,0,0,1,0.0000,0.0,0.6470588235294118,completed,0
Dynamic Only,256,7,dynamic,0.2,10.999999999999977,10.799999999999978,8,10.999999999999977,11.099999999999977,21.70000000000004,10.600000000000062,0,0,0,0.0000,0.0,0.6,completed,0
Dynamic Only,999,0,dynamic,0.2,28.90000000000014,28.70000000000014,9,28.90000000000014,29.000000000000142,,5.200000000000074,1,0,0,0.0000,0.0,0.09649122807017543,lost,0
Dynamic Only,999,1,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,999,2,dynamic,0.2,9.89999999999998,9.699999999999982,9,9.89999999999998,9.99999999999998,18.29999999999999,8.30000000000001,0,0,0,0.0000,0.0,0.9333333333333333,completed,0
Dynamic Only,999,3,dynamic,0.2,13.599999999999968,13.399999999999968,3,13.599999999999968,13.699999999999967,21.70000000000004,8.000000000000071,0,0,0,0.0000,0.0,0.75,completed,0
Dynamic Only,999,4,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,999,5,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,999,6,dynamic,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.999999999999984,8.699999999999983,0,0,0,0.0000,0.0,0.375,completed,0
Dynamic Only,999,7,dynamic,0.2,0.2,0.0,3,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Time-Varying Only,42,0,time_varying,0.2,21.00000000000003,20.80000000000003,2,21.00000000000003,21.10000000000003,29.100000000000144,8.000000000000114,0,0,0,0.0000,0.0,0.7058823529411765,completed,1
Time-Varying Only,42,1,time_varying,0.2,71.30000000000022,71.10000000000022,5,71.30000000000022,71.40000000000022,82.1999999999996,10.799999999999386,0,0,1,0.0000,0.0,0.7368421052631579,completed,2
Time-Varying Only,42,2,time_varying,0.2,76.79999999999991,76.59999999999991,1,76.79999999999991,76.8999999999999,84.99999999999945,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,2
Time-Varying Only,42,3,time_varying,0.2,12.299999999999972,12.099999999999973,3,12.299999999999972,12.399999999999972,20.40000000000002,8.000000000000048,0,0,0,0.0000,0.0,1.0,completed,1
Time-Varying Only,42,4,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
